ます,increase
出典,source
病院,hospital
生産,production
宇宙,universe
何,what
採用,Recruitment
千,thousand
基本,Basics
生まれる,to be born
全て,all
風,Wind
ダム,dam
警察,police
さん,Mr. Miss.
指揮,Command
六,Six
スポーツ,Sports
置く,put
音,sound
超,Super
編成,Formation
字,Character
朝,Morning
搭載,powered by
出す,put out
思う,think
海,Sea
百,hundred
運転,drive
周辺,neighborhood
調査,Investigation
みる,View
連続,continue
億,hundred million
母,mother
特徴,feature
続く,Continue
少年,boy
独立,Independence
本社,main office
開業,Opening a business
行く,go
ものの,But
相手,partner
戦い,Fight
心,heart
始める,start
サービス,service
目的,Purpose
ロシア,Russia
実施,implementation
に対する,Against
例,example
街,Town
基礎,Foundation
省,Ministry
藩,Clan
事務所,Office
コード,code
部隊,Unit
設計,design
姿,Appearance
妻,wife
横浜,Yokohama
紹介,Introduction
ところ,Some time
集,collection
高速,high speed
行政,Government
代目,generation
分類,Classification
森,Woods
得点,score
右,right
理由,cause
マン,man
帝国,Empire
不明,not clear
運動,motion
副,Vice
勝利,victory
江戸,Edo
最も,most
年月日,date
章,chapter
建築,Architecture
じ,character
和書,Japanese book
経営,management
新潟,Niigata
没,Dying
長い,long
示す,show
俳優,actor
エンジン,engine
ニュース,news
発見,discover
データ,data
夏,summer
ホーム,home
群,group
無い,No
以前,Before
備考,remarks
よ,world
正,Positive
契約,Agreement
本名,Real name
文字,letter
時点,Time
運営,operation
初めて,first time
イタリア,Italy
提供,Providing
大正,Taisho
書く,describe
国内,Domestic
カード,card
士,Man
連合,Coalition
表,table
完成,Complete
師,Teacher
活躍,action
米,Rice
量,amount
スーパー,Supermarket
舞台,stage
予定,schedule
環境,environment
韓国,Korea
団体,Group
家族,family
七,Seven
のち,after
自治体,Local government
祭,Festival
実際,actual
重,Heavy
社長,president
大きな,big
外,Outside
映像,picture
日本語,Japanese
学園,Academy
論,Argument
技,Technique
石,stone
時期,season
現代,present day
文,Sentence
族,Tribe
べし,Beyond
協力,Cooperation
千葉,Center
解説,Explanation
船,ship
空港,airport
敵,enemy
共同,Joint
自由,freedom
女優,actress
ライブ,live
リリース,release
階,Floors
港,Harbor
研究所,Research institution
演出,Directing
国家,Nation
方法,Method
学科,Department
出来る,Be ready
国立,National national
ちゃん,Chan
製,Manufacturing
屋,Shop
ほとんど,largely
通信,communication
普通,usually
コーナー,corner
主演,starring
加える,Add
といった,such as
完全,Perfect
初期,initial
少女,Girl
指導,Guidance
重要,important
仮,tentative
認める,Admit
子供,child
愛知,Aichi
工場,plant
結婚,marriage
しか,deer
区間,section
対象,subject
経歴,Career
支援,support
誕生,birth
評価,evaluation
訳,reason
公,public
新聞,newspaper
真,true
プロデューサー,producer
電気,Electricity
中継,relay
改称,Renamed name
限定,exclusive
文学,literature
大戦,War
日本テレビ,Nippon Television
テレビ朝日,TV Asahi
頭,Head
夜,Night
オリンピック,Olympic
方式,method
主人公,main character
血液,blood
圏,Sphere
口,mouth
取る,take
ここ,here
夢,dreams
誌,magazine
英,British
性格,Personality
形式,format
掲載,publish
行動,Behavior
表示,display
イベント,event
門,gate
公演,Performance
会議,meeting
先,Precedence
果たす,Fulfill
春,spring
観光,sightseeing
学者,Scholar
装置,Device
初代,First generation
自ら,oneself
愛称,Nickname
陸軍,Army
言語,language
地球,Earth
作戦,Operation
成功,success
電車,Electric train
移動,Migration
ご,Go game
系列,series
にかけて,Over
バンド,band
為,For
すべて,all
スペシャル,Special
郎,Gross
男子,Male
鈴木,Suzuki
経る,Pass
方面,Direction
国民,Citizen
除く,except
り,the law of nature
品,Item
向け,for
様々,various
由来,Origin
行,line
属,Genus
距離,distance
系統,system
基,Base
聖,Sacred
今,now
山口,Yamaguchi
同時に,at the same time
状況,situation
ヨーロッパ,Europe
多数,Majority
界,World
結ぶ,tie
産業,industry
雑誌,magazine
装備,Equipment
オリジナル,original
作家,Writer
非常,Informal
人気,popular
岡山,Okayama
会長,Chairman
未,Not
埼玉,Saitama
展開,Development
導入,introduction
統合,Integration
動物,animal
始まる,Start
成立,Establishment
寺,temple
神戸,Kobe
国籍,Country of Citizenship
少ない,Few
長野,Nagano
事項,Matter
スタッフ,staff
類,Kind
器,vessel
ガン,gun
教会,Church
競馬,Horse racing
大統領,president
工業,Industrial industry
かける,times
共和,Republic
来る,come
演奏,Performance
至る,Get
部門,Department
選ぶ,Choose
非,Unlucky
整備,Maintenance
男性,male
引退,Retirement
自然,Nature
党,party
再び,again
個人,Individual
に対し,To
終わる,End
田中,Tanaka
天,Heaven
堂,Temple
連邦,Federation
ビル,building
体重,body weight
新た,new
語る,talk
神奈川,Kanagawa
兵庫,Hyogo
木,wood
挙げる,Give up
本部,Headquarters
専用,exclusive
運用,Operation
佐藤,Sato
結成,Formation
試験,test
組合,Union
福島,Fukushima
原,original
言葉,words
当,That
亜,sub
生徒,student
沿革,Partiality
ネット,Net
求める,Ask
移籍,Transfer
ゲスト,The guests
連載,Serialization
資料,Document
事故,accident
正式,Official
電話,phone
ノ,of
効果,effect
追加,addition
登録,register
わ,circle
業務,business
説,Theory
コース,course
労働,Labor
私,Me
医療,medical care
静岡,Shizuoka
制度,system
な,Named
ちる,Sneak
学生,student
変化,change
良い,good
ベース,base
残る,Remain
アナウンサー,announcer
死去,Death
市場,market
ステージ,stage
弾,Bullet
残す,leave
決勝,final
盤,Board
博士,Doctor
まま,Be
王国,Kingdom
向かう,Head to
レース,race
大臣,Minister
生物,Biology
黒,black
兵,Soldier
とる,Take
中村,Nakamura
ほぼ,Almost
帯,band
楽曲,Music
よく,Often
詳細,detail
美術,art
歌手,singer
座,seat
規模,scale
です,is
声優,voice actor
仙台,Sendai
長崎,Nagasaki
全体,whole
刑事,Criminal
競走,race
クラス,class
砲,Gun
く,nine
沖縄,Okinawa
陸上,land
ジャンル,Genre
あるいは,or
アジア,Asia
葉,leaf
店舗,Store
市民,Citizen
社名,Company name
好き,Like
九,Nine
複数,multiple
入り,enter
死,death
熊本,Kumamoto
戻る,return
つける,Put on
左,left
銀行,Bank
以来,Since
白,White
メイン,Main
もと,source
地上,Ground
